ADMIN ID 1,Inventory numbers,Photo #,DD-MMM-YYYY,Author,"FABRIC LEVIGATION: count and weigh by group, list number of handles, bases, rims, and body shards under #. Coarse#",Coarse_g,CoarseNotes,Med#,Med_g,MedNotes,Fine#,Fine_g,FineNotes,CHRONOLOGY - indicate presence/absence with Y/N NL,EH,MH,Mycenaean,EIA,Geometric,Archaic,Classical,Hellenistic,Arch_Class,Arch_Class_Hell,Roman,Medieval,EarlyMod,MATERIAL: number Tile,Lithics,WorkedStone,Metal,Bone,Shell,Notes
100,100_1 Obsidian lithics; 100_2 overturned rim with ridges cookware,,Thu Jan 30 00:00:00 CET 2020,"RK, BP","1 rim, 1 body sherd",14,Rim grooved cookware *; Body sherd grooved cookware,1 body sherd,4,Combed,"1 base, 1 handle, 2 rims",11,Base BG and red paint; 1 handle BG,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,,2,,,,,1 obsidian blade; 1 chert sherd
101,101_1 Pierced discs,,Thu Jan 30 00:00:00 CET 2020,"RK, BP, DM","1 handle, 3 rims, 2 body sherds",158,Handle cookware; 1 rim grooved; 1 body sherd part of loomweight *,"1 handle, 5 body sherds",34,3 body sherds combed; 2 body sherds combed from same vessel; 1 body sherd BG paint,"1 base, 1 handle, 1 rim, 2 body sherds",16,Base BG votive cup *; Rim BG; 2 body sherds BG and red paint,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,,5,,,,,2 obsidian; 3 chert
102,,,Fri Jan 31 00:00:00 CET 2020,"RK, LW",,,,"1 handle, 3 rims, 4 body sherds",69,2 body sherds cookware; 1 body sherd red paint,"4 bases, 3 handles, 12 body sherds",19,3 bases red paint; 1 handle BG; 5 body sherds BG; 1 body sherd BG and red paint; 3 body sherds red paint w/ 1 red banded,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,4,,,,,1 obsidian; 3 chert
103,,,Fri Jan 31 00:00:00 CET 2020,"RK, LW",1 rim,19,Cookware,"1 base, 1 rim, 2 body sherds",82,1 grooved rim; 1 rim cookware,"10 bases, 3 handles, 1 rim, 14 body sherds",424,3 bases red and BG; 3 bases BG; 3 bases red; 2 handles BG; 1 body sherd red; 1 body sherd red and BG; 11 body sherd BG,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,3,,,,,1 obsidian; 2 chert
104,,,Fri Jan 31 00:00:00 CET 2020,"RK, LW","1 base, 2 handles, 1 rim",202,,"1 rim, 2 body sherds",55,2 body sherds grooved,"1 base, 1 body sherd",14,Base BG; Body sherd BG,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,1,1,,,,,Tile BG; 1 chert
1003,,,Mon Jan 27 00:00:00 CET 2020,"AH,LW, BP","1 handle, 2 rims",182,1 rim BG,1 base,52,BG,"8 bases, 9 handles, 4 rims, 36 body sherds",139,"2 bases BG; 2 bases red paint; 3 handles BG, 3 rims BG, 8 BG and red paint body sherds; 26 body sherds BG",N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,,,,2,,,
1034,,,Wed Jan 29 00:00:00 CET 2020,"RK, BP",1 rim,213,,1 body sherd,4,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
1035,1035_2 Handmade jug rim and neck,,Sat Feb 01 00:00:00 CET 2020,"SL, LW","2 rims, 4 body sherds, 2 other",330,1 handmade large rim and neck; 1 rim cookware; 2 others are cookware rectangular feet *,"1 body sherd, 1 other",34,1 body sherd BG; 1 other burnt foot,3 body sherds,56,Pale buff slip-EH fabric *,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
1035,1035_1 Rectangular cookware foot; 1035_3 Rim with red paint and 2 BS with fine buff slip-EH fabric from East bag,,Sat Feb 01 00:00:00 CET 2020,"SL, LW",1 other,40,Rectangular cookware foot *,"1 Base, 1 body sherd",68,1 complete ring base BS; 1 body sherd cookware,"5 rims, 4 body sherds",1 rim red paint *; 1 rim semi-collar; 1 jug handle; 1 greyish; 1 body sherd; 1 body sherd red paint,,,,,,,,,,,,,,,,,,,,,,
2000,,,Fri Jan 31 00:00:00 CET 2020,"RK, LW","1 handle, 1 rim",157,,1 handle,119,,1 rim,8,flared rim of small vessel exterior groove *,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
2002,,,Fri Jan 31 00:00:00 CET 2020,"RK, LW","2 handles, 1 body sherd",190,Body sherd grooved,1 rim,10,,"1 base, 1 handle, 1 body sherd",15,"1 ring base BG, handle BG, body sherd red paint",N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,4,,,,,"3 obsidian, 1 chert 6g"
2007,,046; 047; 048; 049; 050; 051,Mon Jan 27 00:00:00 CET 2020,"NS, SR, RK",1 Other,524,"Architectural fragment (arula), meander on frontface, checkerboard pattern in centre, meander on top, floral decoration *",,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
2010,,,Mon Jan 27 00:00:00 CET 2020,"RK, NS, SR",,,,,,,1 handle,3,Cup handle *,,,,,,,,,,,,,,,,,,,,,
2011,,,Tue Jan 28 00:00:00 CET 2020,"RK, JB",,,,4 body sherds,39,"1 green paint bands; 2 with black, blue and green, 1 with black and white bands; 3 glazed",1 base,5,BG grooved,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,,,,,,,
2012,2012_1 Grooved handle; 2012_2 obsidian lithic,,Tue Jan 28 00:00:00 CET 2020,"RK, JB",1 handle,49,,"1 handle, 5 body sherds",46,Grooved handle *; 1 body sherd cookware; 1 body sherd modern,2 body sherds,2,1 red paint; 1 BG,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,,2,,,,,1 obsidian blade; 1 chert flake
2013,,,Tue Jan 28 00:00:00 CET 2020,"RK, JB",,,,,,,2 body sherds,5,1 BG; 1 cookware,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,,,,,,,1 modern sherd
2014,,,Tue Jan 28 00:00:00 CET 2020,"RK, JB",,,,2 rims,4,Cookware grooved,,,,,,,,,,,,,,,,,,,2,,,,,2 cherts; 1 modern pottery sherd
2015,,,Tue Jan 28 00:00:00 CET 2020,"RK, JB",1 handle,31,Attached to rim cookware,1 rim,3,,,,,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,,,,,,,
